City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
117,Namatanai,PG,83.37,light rain,-3.6667,152.4333,Seagulls Inn Namatani
120,Domoni,KM,72.9,scattered clouds,-12.2569,44.5319,Al Djadid
122,Thompson,CA,73.56,broken clouds,55.7435,-97.8558,Burntwood Hotel
125,Shetpe,KZ,78.06,overcast clouds,44.1667,52.1167,Rtsm Shetpe Analog
126,Maumere,ID,81.12,scattered clouds,-8.6199,122.2111,Sylvia Hotel
127,Nadym,RU,70.34,clear sky,65.5333,72.5167,Apartment on Zvereva
129,Vila Velha,BR,75.15,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
133,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
136,Tagusao,PH,82.11,light rain,9.1924,117.8141,Caycay future beach resort
138,Yarmouth,US,79.97,clear sky,41.7057,-70.2286,Blue Rock Resort
139,Douentza,ML,82.63,overcast clouds,14.9951,-2.9517,Ogomono Doumbo
140,Bergama,TR,73.0,clear sky,39.1207,27.1805,Anil Hotel
144,Ponta Do Sol,PT,70.72,clear sky,32.6667,-17.1,Hotel do Campo
147,Napasar,IN,83.84,overcast clouds,27.9667,73.55,Laxmi Palace
149,Taonan,CN,71.71,clear sky,45.3333,122.7833,Makro Hotel
150,Maceio,BR,71.04,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
154,Bethel,US,81.01,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
157,Chauk,MM,79.14,overcast clouds,20.8833,94.8167,Bo Khin Guest House
160,Mannargudi,IN,79.02,heavy intensity rain,10.6667,79.4333,MANNAI GRAND INN
163,Datong,CN,76.95,overcast clouds,40.0936,113.2914,Holiday Inn Datong City Centre
167,Hami,CN,89.29,clear sky,42.8,93.45,Laoyutang Resort
168,Salinas,US,81.41,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
169,Tutoia,BR,78.04,few clouds,-2.7619,-42.2744,Tutóia Pousada Vila Beach
